date,PRO-00001,PRO-00002,PRO-00003,PRO-00004,PRO-00005,PRO-00006,PRO-00007,PRO-00008,PRO-00009,PRO-00010,PRO-00011,PRO-00012,PRO-00013,PRO-00014,PRO-00015,PRO-00016,PRO-00017,PRO-00018,PRO-00019,PRO-00020
31-05-23,780,780,786,781,779,781,780,780,780,780,780,780,780,780,780,780,780,780,780,780
30-06-23,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
31-07-23,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-08-23,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-09-23,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-10-23,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-11-23,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-12-23,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-01-24,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
29-02-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-03-24,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-04-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-05-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
30-06-24,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
31-07-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-08-24,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-09-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-10-24,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-11-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-12-24,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-01-25,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
28-02-25,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
31-03-25,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
30-04-25,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
